memory_utilization,cpu_utilization,errors_per_minute,requests_per_minute,av_response_time
10.2,0.0815,0,0.333,159
15.3,0.249,0,1.37,159
17.7,0.123,0,0.633,159
19.8,0.235,0,0.689,162
22.6,0.197,0,0.989,170
24.4,0.272,0,1.01,194
27.3,0.199,0,0.989,176
29.3,0.191,0,0.322,163
31.8,0.254,0,1.37,176
34.3,0.131,0,0.633,176
36.3,0.249,0,0.689,157
26.4,0.211,0,0.989,162
13.5,0.253,0,1.01,166
12.1,0.209,0,1,161
14.1,0.0927,0,0.317,158
14.8,0.149,0,0.689,73.7
17.2,0.306,0,1.67,298
20.2,0.355,0,3.4,887
22.7,0.16,0,1.25,1010
24.2,0.173,0,2.05,520
25.9,0.113,0,0.95,520
27.4,0.0851,0,0.683,260
28.2,0.0888,0,1,540
28.8,0.0732,0,0.317,670
30,0.226,0,0.689,164
32.7,0.217,0,0.989,159
34.8,0.0999,0,0.322,156
37.3,0.26,0,0.689,160
23.8,0.221,0,0.989,158
13,0.276,0,1.7,163
13.6,0.235,0,1.3,158
15.8,0.104,0,0.322,153
18.4,0.266,0,2.75,3000
21.4,0.208,0,1.92,2000
23.3,0.197,0,1.01,160
26.9,0.253,0,2.37,263
29.5,0.173,0,1.63,230
30.8,0.0836,0,0.317,164
35.4,0.244,0,1.37,189
37.8,0.133,0,0.633,189
28.9,0.244,0,0.683,163
15.8,0.217,0,1,159
12.6,0.292,0,1,163
13.9,0.778,0,1,159
10.6,0.463,0,0.317,155
11.1,0.245,0,1.37,161
13.4,0.132,0,0.633,161
15.6,0.243,0,0.711,156
19,0.242,0,1.42,168
20,0.264,0,0.736,174
23.5,0.188,0,0.816,162
24.9,0.1,0,0.317,159
28.4,0.297,0,4.1,1450
30.9,0.21,0,3.95,982
32.3,0.081,0,0.95,549
33.5,0.111,0,0.683,160
34.7,0.187,0,0.317,160
37.6,0.23,0,4.1,629
34.1,0.158,0,3.95,542
16.7,0.135,0,1.63,333
10.5,0.139,0,0.317,157
13.2,0.209,0,4.1,516
15.3,0.162,0,3.95,493
16.2,0.0794,0,0.95,471
17.4,0.107,0,0.683,174
18.5,0.0779,0,0.317,174
21.4,0.241,0,0.683,158
24.1,0.182,0,1,157
26,0.259,0,1,181
28.8,0.19,0,1,165
30.8,0.186,0,0.317,152
33.9,0.275,0,4.1,375
36.6,0.165,0,1.9,375
28,0.236,0,0.683,157
14.8,0.183,0,1,158
11.8,0.274,0,1,158
14.5,0.196,0,1,157
16.4,0.169,0,0.317,156
19.1,0.236,0,1.37,160
21.4,0.142,0,0.633,160
29.8,0.129,0,0.683,155
30.7,0.0836,0,0.317,155
33.2,0.282,0,2.75,828
36.7,0.287,0.678,4.64,1260
22.3,0.212,0.322,3.66,1060
11.8,0.105,0,0.95,790
15,0.3,0.689,4.13,1180
18.3,0.295,0.995,5.97,512
21.1,0.133,0.317,1.9,205
14.6,0.551,0,4.78,906
13.9,0.171,0,2.22,906
16.1,0.34,0,5.51,728
20,0.201,0,2.49,728
22.7,0.11,0,0.683,157
23.8,0.0795,0,0.317,157
26.8,0.259,0,1.37,161
29.5,0.143,0,0.633,161
31.5,0.234,0,0.689,160
34.3,0.195,0,0.989,158
36.1,0.232,0,1.01,208
30.3,0.255,0,3.73,498
15.9,0.121,0,1.58,523
15.9,0.252,0,1.37,162
18.4,0.134,0,0.633,162
20.8,0.239,0,0.689,160
23.6,0.192,0,0.989,156
25.4,0.0881,0,0.322,155
30.9,0.243,0,1.37,172
33.4,0.16,0,0.633,172
35.3,0.42,0,0.683,185
38.1,0.34,0,1,170
32.7,0.443,0,1.69,585
18.3,0.326,0,1.98,431
14.3,0.238,0,1.33,248
15.5,0.185,0,0.317,184
18.6,0.462,0,1.37,173
21.1,0.257,0,0.633,173
23.2,0.406,0,0.689,161
25.9,0.328,0,0.989,166
27.8,0.369,0,1.01,173
30.9,0.393,0,3.02,2150
33.2,0.279,0,1.29,2370
35.7,0.427,0,1.37,175
38.2,0.255,0,0.633,175
32.8,0.395,0,0.689,166
17.6,0.305,0,0.989,205
12.6,0.135,0,0.322,223
11.7,0.742,0,3.42,170
16.8,0.376,0,2.75,163
19.7,0.3,0,1.92,167
21.6,0.293,0,0.322,173
24.8,0.444,0,4.1,488
27.3,0.282,0,1.9,488
29.7,0.382,0,0.683,163
32.5,0.287,0,1,167
33.7,0.129,0,0.317,169
32.2,0.397,0,4.1,389
16,0.232,0,1.9,389
10.8,0.343,0,0.683,163
13.7,0.265,0,1,157
15.6,0.136,0,0.317,154
18.3,0.364,0,0.689,174
21,0.261,0,0.989,162
23,0.351,0,1.01,214
25.9,0.281,0,0.989,182
27.8,0.29,0,0.322,156
30.4,0.366,0,1.37,164
32.7,0.201,0,0.633,164
34.9,0.353,0,0.689,155
37.6,0.274,0,0.989,156
38.9,0.134,0,0.322,157
19.7,0.345,0,1.37,177
12.8,0.18,0,0.633,177
14.8,0.346,0,0.683,196
17.5,0.309,0,1,170
19.5,0.374,0,1.01,160
22.3,0.284,0,0.989,168
24.2,0.21,0,0.322,171
26.8,0.354,0,1.36,161
29.2,0.217,0,0.644,161
31.2,0.349,0,0.689,159
34,0.266,0,0.989,171
35.9,0.332,0,1.01,209
25.3,0.504,0,2.37,189
14.8,0.245,0,0.95,183
13.4,0.335,0,0.689,158
16.1,0.265,0,0.989,162
18,0.229,0,0.322,163
20.7,0.301,0,1.37,193
23.2,0.302,0,1.32,143
25.3,0.166,0,0.317,95.7
14.8,0.601,0,1.38,147
11.9,0.25,0,3.33,1970
14.1,0.181,0,1.97,1610
15.6,0.358,0,2.38,703
18.4,0.233,0,2.97,697
20.7,0.125,0,1.65,453
22.1,0.242,0,2.38,452
24.9,0.171,0,2.97,584
27.1,0.13,0,1.65,436
28.6,0.269,0,2.38,479
31.4,0.175,0,2.97,433
33.7,0.118,0,1.65,292
35,0.233,0,1,161
37.9,0.192,0,3.73,388
23.9,0.144,0,2.27,334
12.1,0.0961,0,0.317,159
11.3,0.226,0,0.689,183
14.1,0.19,0,3.7,634
16.3,0.143,0,2.29,521
17.7,0.183,0,0.317,157
20.4,0.211,0,4.1,496
22.7,0.16,0,2.58,406
24,0.0849,0,0.317,155
28.1,0.229,0,4.1,665
30.4,0.165,0,2.58,529
31.9,0.0849,0,0.317,152
35.2,0.24,0,4.1,657
37.6,0.183,0,2.58,526
39.2,0.113,0,0.317,159
23.5,0.36,0,6.15,888
14.8,0.197,0,2.85,888
15.5,0.115,0,0.683,176
17.1,0.271,0,3.07,1320
20.2,0.199,0,1.92,994
22.2,0.18,0,0.322,154
25,0.228,0,1.37,157
27.3,0.125,0,0.633,157
29.5,0.248,0,0.689,156
32.3,0.202,0,0.989,163
34.2,0.0936,0,0.322,166
36.6,0.241,0,0.689,156
24.6,0.208,0,0.989,166
12.5,0.234,0,1.01,171
12.1,0.217,0,1,160
14.2,0.146,0,0.317,156
16.7,0.25,0,4.1,615
19.1,0.189,0,2.58,494
20.7,0.0849,0,0.317,159
10.9,0.305,0,4.82,523
14.1,0.182,0,2.18,523
18.7,0.274,0,4.13,1490
22.5,0.229,0,3.22,1090
25.1,0.273,0,2.71,792
28.6,0.234,0,3.65,1060
30.9,0.274,0,1.98,791
33.8,0.178,0,3.7,455
35.9,0.125,0,2.29,420
37.1,0.178,0,0.317,271
21.9,0.24,0,1.37,167
12.1,0.153,0,0.633,167
12.6,0.215,0,0.683,165
15.2,0.173,0,1,159
17.3,0.277,0,2.38,411
19.8,0.16,0,1.61,3550
21,0.0637,0,0.322,7810
22.1,0.112,0,0.683,178
23.2,0.0891,0,0.317,178
28.1,0.213,0,2.73,2170
29.7,0.11,0,1.27,2170
30.6,0.118,0,0.683,182
31.8,0.0905,0,0.317,182
34.3,0.255,0,0.683,155
37,0.201,0,1,158
38.8,0.173,0,0.317,159
21.5,0.248,0,1.37,157
12.5,0.153,0,0.633,157
14.4,0.289,0,2.05,343
17.9,0.208,0,1.63,267
19.6,0.0836,0,0.317,161
22.6,0.263,0,1.37,156
25.2,0.154,0,0.633,156
27.2,0.233,0,0.689,156
30,0.186,0,0.989,154
31.8,0.172,0,0.322,153
35.6,0.394,0,4.78,384
24.9,0.746,0,2.9,335
24.2,0.323,0,0.317,174
16,0.47,0,4.1,582
13.8,0.084,0,0.95,584
17.2,0.429,0,8.26,4730
21.6,0.233,0,3.74,4730
27.7,0.217,0,4.1,393
29.7,0.145,0,3.95,378
30.5,0.0755,0,0.95,365
31.8,0.121,0,0.683,182
32.9,0.159,0,0.317,182
36.7,0.252,0,1.37,158
39.3,0.138,0,0.633,158
28.5,0.25,0,0.683,163
16.3,0.201,0,1,157
13.9,0.243,0,1,157
16.8,0.22,0,1,156
18.9,0.102,0,0.317,156
23.5,0.236,0,0.689,157
26.2,0.191,0,0.989,161
28.1,0.258,0,1.01,163
31,0.194,0,1,158
32.8,0.0806,0,0.317,156
35.5,0.248,0,0.689,156
38.2,0.196,0,0.989,154
38.2,0.249,0,1.01,159
19.8,0.219,0,1,156
12.5,0.142,0,0.317,154
14.8,0.278,0,1.37,161
17.5,0.153,0,0.633,161
19.6,0.253,0,2.75,3710
22.6,0.216,0,1.92,2460
24.6,0.224,0,1.01,200
27.4,0.209,0,1,184
29.6,0.142,0,0.317,168
31.8,0.249,0,1.37,157
34.5,0.14,0,0.633,157
36.4,0.234,0,0.689,159
39,0.193,0,0.989,161
30,0.189,0,0.322,162
16.3,0.193,0,1.37,239
13.3,0.143,0,1.32,194
14.6,0.0794,0,0.317,151
14.9,0.212,0,6.15,1280
16.7,0.124,0,2.85,1280
20.5,0.136,0,0.683,73.1
21.9,0.0972,0,1,128
22.7,0.0566,0,0.317,153
28.9,0.266,0,2.05,106
16.1,0.621,0,0.95,106
9.99,0.12,0,0.689,154
11.6,0.0857,0,0.311,154
16.6,0.194,0,2.75,521
18.7,0.241,0,7.35,1220
20.6,0.119,0,2.9,1370
22.5,0.128,0,2.05,325
23.5,0.0944,0,0.95,325
24.7,0.169,0,0.689,90.1
26.2,0.168,0,0.311,90.1
27.5,0.152,0,2.05,360
28.5,0.0915,0,0.95,360
29.3,0.233,0,2.07,482
32,0.264,0,2.29,535
33.9,0.134,0,0.644,571
11.9,0.285,0,2.07,110
15.3,0.17,0,0.934,110
19.2,0.278,0,6.83,1140
21.3,0.166,0,3.17,1140
11.5,0.171,0,6.83,2090
12.9,0.115,0,3.17,2090
13.8,0.0696,0,0.683,5660
14.3,0.0708,0,0.317,5660
14.8,0.156,0,2.05,339
17.4,0.187,0,5.05,344
19.2,0.104,0,1.9,346
29,0.202,0,0.689,89.5
31.2,0.208,0,0.989,147
36,0.287,0,3.06,422
39,0.155,0,1.27,452
21.7,0.182,0.683,4.1,1280
12.4,0.122,0.317,1.9,1280
12.9,0.195,0,4.78,965
16.8,0.257,1.37,7,733
19.2,0.13,0.633,2.22,625
29.8,0.219,0,0.683,175
31.3,0.184,0.683,1.68,361
32.3,0.0878,0.317,0.633,404
11.1,0.112,0,0.683,81.1
12.3,0.109,0,1,450
13.1,0.093,0,0.317,621
15.6,0.177,0,4.1,661
17.6,0.117,0,1.9,661
18.7,0.0853,0,1.37,313
19.3,0.073,0,0.633,313
21.1,0.124,0,2.73,408
22.1,0.0887,0,1.27,408
25.4,0.11,0,0.683,192
26.5,0.0849,0,0.317,192
34.7,0.0995,0,1.37,391
35.5,0.0853,0,0.633,391
38.3,0.104,0,0.683,173
23,0.171,0,2.37,337
12.8,0.109,0,0.95,362
11.8,0.108,0,2.05,1080
12.6,0.0794,0,0.95,1080
14.1,0.0866,0.683,1.37,343
16.7,0.281,0.317,8.83,3460
19.5,0.759,0,6.53,3730
14.4,0.495,0,7.42,913
14.4,0.287,0,0.683,172
15.8,0.195,0,1.68,301
16.7,0.0786,0,0.633,331
32.5,0.175,0,1.37,586
34.2,0.213,0,6.78,434
36.3,0.17,0,4.9,294
29.9,0.214,0,5.73,309
15.5,0.132,0,2.9,410
10.9,0.0905,0,0.317,617
9.89,0.122,0,2.05,400
10.8,0.104,0,0.95,400
18.5,0.117,0,1.37,479
19.6,0.0876,0,1.32,6680
20.3,0.0654,0,0.317,12400
22.6,0.198,0,0.689,132
24.7,0.316,0,3.73,395
27.7,0.276,0,2.94,281
31.2,0.28,0,6.11,369
33.4,0.216,0,2.53,398
34.9,0.125,0,0.683,90.1
35.6,0.0773,0,0.317,90.1
36.6,0.123,0,1.37,167
38,0.13,0,3.37,5350
38.9,0.0965,0,1.27,6550
32.6,0.126,0,1.37,2170
16.1,0.115,0,1.32,1890
10.2,0.0801,0,0.317,1620
11.7,0.139,0,3.42,2360
12.8,0.108,0,1.58,2360
13.9,0.165,0,2.73,601
15.1,0.107,0,1.27,601
17.3,0.196,0,0.689,71.9
18.8,0.184,0,1.67,115
20,0.1,0,0.644,125
20.7,0.121,0,1.37,165
21.7,0.0932,0,0.633,165
23.3,0.106,0,0.683,173
24.7,0.196,0,3.05,760
26.4,0.186,0,2.64,859
29.1,0.341,0,4.69,726
32.4,0.192,0,1.93,701
16.8,0.42,0,0.683,176
10.8,0.187,0,3.05,459
12.1,0.105,0,1.27,492
